Counties,Sex,Cancer,PopTot,AAIR,Cancer_Incidents
Kern,Female,Thyroid,2198974,24.1,529.952734
Kern,Male,Liver,2318198,15.9,368.59348200000005
Kern,Female,Liver,2198974,6.0,131.93844
Kern,Male,Pancreas,2318198,11.9,275.865562
Kern,Female,Pancreas,2198974,11.5,252.88201
Kern,Male,AllSite,2318198,439.8,10195.434804
Kern,Female,AllSite,2198974,379.0,8334.11146
Kings,Male,Prostate,418785,85.9,359.73631500000005
Kings,Female,Prostate,339406,0.0,0.0
Kings,Male,Breast,418785,0.2,0.8375699999999999
Kings,Female,Breast,339406,101.9,345.85471400000006
Kings,Male,Lung,418785,47.9,200.598015
Kings,Female,Lung,339406,26.6,90.281996
Kings,Male,CRC,418785,30.4,127.31063999999998
Kings,Female,CRC,339406,22.8,77.384568
Kings,Male,Mela,418785,13.2,55.279619999999994
Kings,Female,Mela,339406,9.3,31.564758000000005
Kings,Male,Uterine,418785,0.0,0.0
Kings,Female,Uterine,339406,27.3,92.65783800000001
Kings,Male,Lymph,418785,17.3,72.449805
Kings,Female,Lymph,339406,15.9,53.965554000000004
Kings,Male,Urinary,418785,22.7,95.064195
Kings,Female,Urinary,339406,7.4,25.116044000000002
Kings,Male,Kidney,418785,17.2,72.03102
Kings,Female,Kidney,339406,20.3,68.899418
Kings,Male,Thyroid,418785,5.5,23.033175
Kings,Female,Thyroid,339406,26.2,88.92437199999999
Kings,Male,Liver,418785,17.6,73.70616000000001
Kings,Female,Liver,339406,6.5,22.06139
Kings,Male,Pancreas,418785,13.5,56.535975
Kings,Female,Pancreas,339406,11.8,40.049908
Kings,Male,AllSite,418785,377.3,1580.0758050000002
Kings,Female,AllSite,339406,374.5,1271.07547
Lake,Male,Prostate,170003,84.7,143.992541
Lake,Female,Prostate,168781,0.0,0.0
Lake,Male,Breast,170003,0.0,0.0
Lake,Female,Breast,168781,121.2,204.562572
Lake,Male,Lung,170003,59.9,101.83179700000001
Lake,Female,Lung,168781,57.8,97.55541799999999
Lake,Male,CRC,170003,46.2,78.541386
Lake,Female,CRC,168781,33.5,56.541635
Lake,Male,Mela,170003,27.7,47.090831
Lake,Female,Mela,168781,12.8,21.603968
Lake,Male,Uterine,170003,0.0,0.0
Lake,Female,Uterine,168781,23.9,40.338659
Lake,Male,Lymph,170003,13.9,23.630416999999998
Lake,Female,Lymph,168781,9.7,16.371757
Lake,Male,Urinary,170003,34.5,58.651035
Lake,Female,Urinary,168781,10.2,17.215662
Lake,Male,Kidney,170003,25.8,43.860774
Lake,Female,Kidney,168781,13.2,22.279092
Lake,Male,Thyroid,170003,3.9,6.630117
Lake,Female,Thyroid,168781,10.8,18.228348
Lake,Male,Liver,170003,19.1,32.470573
Lake,Female,Liver,168781,4.8,8.101488
Lake,Male,Pancreas,170003,9.9,16.830297
Lake,Female,Pancreas,168781,8.0,13.50248
Lake,Male,AllSite,170003,455.2,773.8536559999999
Lake,Female,AllSite,168781,391.3,660.4400529999999
Lassen,Male,Prostate,103966,67.9,70.59291400000001
Lassen,Female,Prostate,58987,0.0,0.0
Lassen,Male,Breast,103966,0.0,0.0
Lassen,Female,Breast,58987,108.1,63.764947
Lassen,Male,Lung,103966,38.1,39.611046
Lassen,Female,Lung,58987,45.1,26.603137
Lassen,Male,CRC,103966,22.0,22.87252
Lassen,Female,CRC,58987,27.7,16.339399
Lassen,Male,Mela,103966,15.4,16.010764
Lassen,Female,Mela,58987,19.1,11.266517
Lassen,Male,Uterine,103966,0.0,0.0
Lassen,Female,Uterine,58987,21.1,12.446257000000001
Lassen,Male,Lymph,103966,17.7,18.401982
Lassen,Female,Lymph,58987,7.7,4.541999
Lassen,Male,Urinary,103966,23.8,24.743908
Lassen,Female,Urinary,58987,2.4,1.415688
Lassen,Male,Kidney,103966,11.8,12.267988
Lassen,Female,Kidney,58987,12.3,7.255401000000001
Lassen,Male,Thyroid,103966,4.0,4.15864
Lassen,Female,Thyroid,58987,15.8,9.319946000000002
Lassen,Male,Liver,103966,16.8,17.466288000000002
Lassen,Female,Liver,58987,5.7,3.3622590000000003
Lassen,Male,Pancreas,103966,7.0,7.27762
Lassen,Female,Pancreas,58987,18.3,10.794621
Lassen,Male,AllSite,103966,324.1,336.95380600000004
Lassen,Female,AllSite,58987,369.7,218.07493899999997
Los Angeles,Male,Prostate,24882281,92.1,22916.580801
Los Angeles,Female,Prostate,25197009,0.0,0.0
Los Angeles,Male,Breast,24882281,0.9,223.940529
Los Angeles,Female,Breast,25197009,119.9,30211.213791
Los Angeles,Male,Lung,24882281,38.4,9554.795904
Los Angeles,Female,Lung,25197009,28.4,7155.950555999999
Los Angeles,Male,CRC,24882281,39.3,9778.736432999998
Los Angeles,Female,CRC,25197009,29.7,7483.511673
Los Angeles,Male,Mela,24882281,17.0,4229.987770000001
Los Angeles,Female,Mela,25197009,9.8,2469.3068820000003
Los Angeles,Male,Uterine,24882281,0.0,0.0
Los Angeles,Female,Uterine,25197009,27.1,6828.3894390000005
Los Angeles,Male,Lymph,24882281,19.8,4926.691638
Los Angeles,Female,Lymph,25197009,13.8,3477.1872420000004
Los Angeles,Male,Urinary,24882281,23.8,5921.982878000001
Los Angeles,Female,Urinary,25197009,5.5,1385.835495
Los Angeles,Male,Kidney,24882281,18.8,4677.868828000001
Los Angeles,Female,Kidney,25197009,9.8,2469.3068820000003
Los Angeles,Male,Thyroid,24882281,6.2,1542.701422
Los Angeles,Female,Thyroid,25197009,18.4,4636.249655999999
Los Angeles,Male,Liver,24882281,13.2,3284.4610919999996
Los Angeles,Female,Liver,25197009,5.9,1486.6235310000002
Los Angeles,Male,Pancreas,24882281,13.6,3383.990216
Los Angeles,Female,Pancreas,25197009,10.9,2746.473981
Los Angeles,Male,AllSite,24882281,387.1,96319.30975100001
Los Angeles,Female,AllSite,25197009,364.5,91843.097805
Madera,Male,Prostate,380442,84.1,319.95172199999996
Madera,Female,Prostate,399602,0.0,0.0
Madera,Male,Breast,380442,1.8,6.847956
Madera,Female,Breast,399602,98.5,393.60796999999997
Madera,Male,Lung,380442,43.1,163.970502
Madera,Female,Lung,399602,35.1,140.260302
Madera,Male,CRC,380442,38.8,147.611496
Madera,Female,CRC,399602,30.4,121.47900799999998
Madera,Male,Mela,380442,29.6,112.61083200000002
Madera,Female,Mela,399602,18.8,75.12517600000001
Madera,Male,Uterine,380442,0.0,0.0
Madera,Female,Uterine,399602,23.0,91.90846
Madera,Male,Lymph,380442,23.8,90.545196
Madera,Female,Lymph,399602,14.4,57.542688
Madera,Male,Urinary,380442,22.9,87.121218
Madera,Female,Urinary,399602,6.6,26.373731999999997
Madera,Male,Kidney,380442,25.5,97.01271000000001
Madera,Female,Kidney,399602,14.2,56.743483999999995
Madera,Male,Thyroid,380442,4.6,17.500331999999997
Madera,Female,Thyroid,399602,18.3,73.127166
Madera,Male,Liver,380442,17.8,67.718676
Madera,Female,Liver,399602,8.8,35.164976
Madera,Male,Pancreas,380442,15.7,59.729394
Madera,Female,Pancreas,399602,10.2,40.759403999999996
Madera,Male,AllSite,380442,418.9,1593.671538
Madera,Female,AllSite,399602,373.4,1492.113868
Marin,Male,Prostate,644213,114.2,735.691246
Marin,Female,Prostate,666404,0.0,0.0
Marin,Male,Breast,644213,1.1,7.086343000000001
Marin,Female,Breast,666404,152.2,1014.266888
Marin,Male,Lung,644213,29.6,190.68704800000003
Marin,Female,Lung,666404,33.8,225.24455199999997
Marin,Male,CRC,644213,38.1,245.445153
